CMDLINE python EyeTracking.py
MEM 146.941406 1452278536.2558
MEM 146.941406 1452278536.3675
MEM 146.941406 1452278536.4795
MEM 147.253906 1452278536.5974
MEM 147.253906 1452278536.7138
MEM 147.253906 1452278536.8283
MEM 147.253906 1452278536.9385
MEM 147.253906 1452278537.0484
MEM 147.546875 1452278537.1598
MEM 147.546875 1452278537.2707
MEM 147.546875 1452278537.3828
MEM 147.546875 1452278537.4926
MEM 147.546875 1452278537.6047
MEM 147.695312 1452278537.7166
MEM 147.695312 1452278537.8279
MEM 147.695312 1452278537.9385
MEM 147.988281 1452278538.0489
MEM 147.988281 1452278538.1586
MEM 147.988281 1452278538.2687
MEM 148.292969 1452278538.3797
MEM 148.292969 1452278538.4911
MEM 148.292969 1452278538.6032
MEM 148.292969 1452278538.7128
MEM 148.292969 1452278538.8227
MEM 148.585938 1452278538.9329
MEM 148.585938 1452278539.0438
MEM 148.585938 1452278539.1552
MEM 148.878906 1452278539.2662
MEM 148.878906 1452278539.3758
MEM 148.878906 1452278539.4867
MEM 148.878906 1452278539.5969
MEM 148.878906 1452278539.7088
MEM 148.878906 1452278539.8262
MEM 148.878906 1452278539.9384
MEM 149.035156 1452278540.0488
MEM 149.035156 1452278540.1586
MEM 149.035156 1452278540.2688
MEM 149.035156 1452278540.3793
MEM 149.035156 1452278540.4898
MEM 149.035156 1452278540.6056
MEM 149.035156 1452278540.7210
MEM 149.035156 1452278540.8310
MEM 149.035156 1452278540.9417
MEM 149.035156 1452278541.0517
MEM 149.714844 1452278541.1620
MEM 149.714844 1452278541.2789
MEM 149.714844 1452278541.3894
MEM 150.007812 1452278541.5055
MEM 150.007812 1452278541.6200
MEM 150.007812 1452278541.7325
MEM 150.367188 1452278541.8423
MEM 150.367188 1452278541.9532
MEM 150.367188 1452278542.0702
MEM 150.367188 1452278542.1822
MEM 150.367188 1452278542.2920
MEM 150.367188 1452278542.4021
MEM 150.367188 1452278542.5118
MEM 150.367188 1452278542.6232
MEM 150.367188 1452278542.7343
MEM 150.367188 1452278542.8498
MEM 151.023438 1452278542.9620
MEM 151.023438 1452278543.0738
MEM 151.105469 1452278543.1843
MEM 151.105469 1452278543.2971
MEM 151.105469 1452278543.4095
MEM 151.105469 1452278543.5241
MEM 151.984375 1452278543.6344
MEM 151.984375 1452278543.7463
MEM 151.984375 1452278543.8598
MEM 151.984375 1452278543.9708
MEM 151.984375 1452278544.0821
MEM 152.277344 1452278544.1924
MEM 152.277344 1452278544.3090
MEM 152.605469 1452278544.4193
MEM 152.605469 1452278544.5293
MEM 152.605469 1452278544.6408
MEM 152.605469 1452278544.7534
MEM 152.605469 1452278544.8641
MEM 152.605469 1452278544.9745
MEM 152.605469 1452278545.0843
MEM 152.605469 1452278545.1947
MEM 152.605469 1452278545.3054
MEM 152.605469 1452278545.4178
MEM 152.605469 1452278545.5343
MEM 152.605469 1452278545.6450
MEM 152.898438 1452278545.7604
